QM Energy	FF Energy
     -1.9359e-05    -2.17133e-05
       -3.33e-07    -5.08467e-07
    -0.000576094    -0.000573673
     -8.1548e-05     -8.2209e-05
     -1.6411e-05    -1.86244e-05
    -0.000722997    -0.000765429
     -1.0695e-05    -1.25038e-05
      -6.389e-06    -7.73617e-06
      -1.167e-06    -1.59953e-06
    -0.000116407    -0.000114521
     -8.2833e-05    -8.34103e-05
      -7.607e-06    -9.10235e-06
      -1.877e-06    -2.47831e-06
       -5.75e-07    -8.36629e-07
     -9.1905e-05    -9.18663e-05
      -2.428e-06    -3.14555e-06
    -0.000362144    -0.000344808
    -0.000727919    -0.000772672
     -1.4131e-05    -1.62061e-05
     -5.3571e-05    -5.57134e-05
    -0.000173576     -0.00016696
     -1.4925e-05    -1.70504e-05
     -4.6762e-05    -4.91332e-05
      -9.395e-06    -1.10814e-05
    -0.000234338    -0.000222964
     -0.00011477    -0.000113014
       -3.82e-06    -4.79145e-06
     -6.1382e-05    -6.31876e-05
     -6.4853e-05    -6.64867e-05
     -1.4042e-05    -1.61104e-05
    -0.000650514    -0.000665685
     -5.9411e-05    -6.13079e-05
      -2.912e-06    -3.72322e-06
    -0.000333272    -0.000316611
      -5.903e-06    -7.18519e-06
       -2.51e-06    -3.24325e-06
    -0.000377322    -0.000359825
       -6.36e-07    -9.17795e-07
    -0.000313428    -0.000297488
      -2.978e-06    -3.80172e-06
     -0.00014717    -0.000142762
      -3.883e-06     -4.8644e-06
      -1.629e-06     -2.1743e-06
    -0.000108824    -0.000107532
    -0.000103089    -0.000102234
       -5.98e-06    -7.27351e-06
       -1.77e-06    -2.34774e-06
       -7.64e-07    -1.08489e-06
     -2.8301e-05    -3.08771e-05
       -9.51e-07    -1.32552e-06
      -3.908e-06    -4.89391e-06
      -1.566e-06    -2.09646e-06
      -1.576e-05    -1.79366e-05
    -0.000153268     -0.00014835
      -2.877e-06    -3.68195e-06
      -7.072e-06    -8.50429e-06
     -2.3505e-05    -2.59966e-05
     -1.2151e-05    -1.40815e-05
     -2.6467e-05    -2.90188e-05
     -4.4719e-05     -4.7146e-05
      -1.886e-06    -2.48909e-06
     -1.0111e-05    -1.18663e-05
    -0.000174771    -0.000168056
       -9.48e-06    -1.11743e-05
     -5.7242e-05    -5.92343e-05
       -3.14e-06    -3.99337e-06
     -1.4389e-05     -1.6481e-05
     -0.00072939     -0.00077485
       -2.96e-07    -4.56485e-07
       -9.84e-07    -1.36761e-06
      -3.725e-06    -4.68019e-06
    -0.000536395     -0.00052781
     -3.3395e-05    -3.59887e-05
      -3.645e-06    -4.58696e-06
    -0.000680844    -0.000705983
        -2.4e-07    -3.77792e-07
      -3.375e-06    -4.26945e-06
    -0.000397143    -0.000379659
      -2.739e-06    -3.51736e-06
       -8.33e-07    -1.17367e-06
    -0.000288023     -0.00027328
     -1.0321e-05    -1.20957e-05
     -1.5414e-05    -1.75701e-05
     -3.9365e-05    -4.19028e-05
     -3.0561e-05    -3.31528e-05
      -5.996e-06    -7.29139e-06
       -2.96e-07    -4.56287e-07
       -3.52e-07    -5.35117e-07
    -0.000130382    -0.000127366
     -8.7709e-05     -8.7961e-05
       -4.95e-05    -5.17877e-05
     -3.5525e-05    -3.81078e-05
          -7e-07    -1.00061e-06
      -3.737e-06    -4.69465e-06
      -7.755e-06    -9.26729e-06
       -4.27e-06    -5.31431e-06
     -5.0609e-05    -5.28591e-05
     -1.0253e-05    -1.20217e-05
     -2.3836e-05    -2.63358e-05
     -9.2616e-05    -9.25261e-05
       -5.93e-07    -8.60705e-07
       -4.75e-07    -7.03163e-07
      -7.982e-06    -9.51936e-06
     -2.3767e-05    -2.62643e-05
     -4.6296e-05    -4.86805e-05
       -6.05e-07    -8.76028e-07
      -1.639e-06     -2.1865e-06
      -2.175e-06    -2.84003e-06
      -1.832e-06    -2.42402e-06
      -2.098e-06    -2.74787e-06
    -0.000195447    -0.000187041
       -4.92e-07    -7.25027e-07
     -1.3488e-05     -1.5518e-05
       -7.28e-07    -1.03823e-06
     -4.4955e-05    -4.73762e-05
     -5.5286e-05    -5.73607e-05
       -3.66e-07    -5.54702e-07
     -3.0921e-05    -3.35145e-05
     -1.6334e-05    -1.85422e-05
        -9.6e-07    -1.33645e-06
      -1.173e-06    -1.60681e-06
      -1.509e-06    -2.02604e-06
       -9.79e-07    -1.36072e-06
     -5.0956e-05    -5.31942e-05
     -9.2212e-05    -9.21513e-05
     -7.4749e-05     -7.5832e-05
      -9.053e-06    -1.07049e-05
    -0.000446753    -0.000430514
    -0.000189704    -0.000181763
      -1.001e-05    -1.17554e-05
       -2.77e-06    -3.55418e-06
    -0.000177625    -0.000170674
     -4.6539e-05    -4.89165e-05
      -1.654e-06    -2.20587e-06
       -1.41e-06    -1.90383e-06
       -8.32e-07    -1.17292e-06
    -0.000136434     -0.00013292
      -6.268e-06    -7.59863e-06
       -4.35e-07    -6.48562e-07
      -8.739e-06    -1.03587e-05
    -0.000636218    -0.000647304
      -1.821e-06    -2.41007e-06
       -3.65e-07    -5.52246e-07
      -2.977e-06    -3.80028e-06
     -0.00043223    -0.000415433
     -0.00029907    -0.000283772
       -8.78e-07    -1.23222e-06
     -2.3944e-05    -2.64456e-05
     -1.1353e-05    -1.32188e-05
     -8.6235e-05    -8.65864e-05
       -3.79e-07     -5.7199e-07
      -5.227e-06    -6.41529e-06
       -5.27e-07    -7.72882e-07
       -2.55e-07    -3.99459e-07
       -4.02e-07    -6.03491e-07
     -1.9571e-05    -2.19335e-05
      -2.794e-06    -3.58252e-06
      -1.282e-06    -1.74363e-06
        -3.2e-07    -4.90056e-07
     -6.7997e-05     -6.9465e-05
     -4.8787e-05    -5.10977e-05
      -1.987e-06    -2.61239e-06
     -1.2556e-05    -1.45176e-05
       -4.68e-07    -6.93463e-07
      -4.713e-06    -5.82584e-06
      -4.337e-06     -5.3925e-06
       -6.97e-07    -9.97477e-07
     -2.9514e-05    -3.21005e-05
        -2.9e-07    -4.48007e-07
    -0.000244952    -0.000232834
      -5.616e-06    -6.85955e-06
      -5.915e-06    -7.19883e-06
       -8.11e-07    -1.14585e-06
    -0.000179053    -0.000171985
      -5.396e-06    -6.60895e-06
    -0.000490724    -0.000477267
