QM Energy	FF Energy
     -3.7131e-05    -2.60259e-05
     -2.4323e-05    -2.00281e-05
    -0.000221613    -0.000331698
     -4.6429e-05    -5.79118e-05
    -0.000498922    -0.000431972
     -5.4991e-05    -6.01395e-05
      -4.086e-05    -3.03726e-05
    -0.000859281    -0.000779082
     -7.6954e-05    -6.19755e-05
     -7.0725e-05    -0.000114738
     -3.5261e-05    -2.72002e-05
     -6.5205e-05    -0.000115497
    -0.000188882    -0.000159446
    -0.000165002    -0.000136006
    -0.000573322    -0.000550186
     -7.3332e-05    -6.33235e-05
     -1.6151e-05    -1.23075e-05
    -0.000419579    -0.000384941
     -6.1255e-05    -4.49739e-05
      -9.318e-06    -7.26213e-06
      -9.758e-06    -8.42975e-06
    -0.000809685    -0.000767858
     -1.2126e-05    -9.97053e-06
     -1.3998e-05    -1.15696e-05
    -0.000389971    -0.000341203
     -9.3188e-05    -0.000127951
     -1.6899e-05    -1.53003e-05
     -9.1062e-05    -8.35768e-05
       -2.88e-05    -2.34128e-05
      -3.775e-05    -2.78747e-05
    -0.000103707    -7.67509e-05
    -0.000475884    -0.000522319
      -0.0014753     -0.00133897
     -5.4409e-05    -4.51358e-05
    -0.000165126    -0.000133128
     -7.2493e-05    -0.000121561
    -0.000111143    -9.93035e-05
     -9.2032e-05    -0.000173085
    -0.000106859    -8.91921e-05
     -5.9793e-05    -8.45389e-05
    -0.000231634    -0.000258306
     -2.8659e-05    -2.11463e-05
    -0.000346899    -0.000296118
     -3.7826e-05    -2.66858e-05
    -0.000200358    -0.000273968
     -1.8867e-05    -1.62266e-05
    -0.000339181    -0.000323394
     -1.8169e-05    -1.65198e-05
     -6.8797e-05    -9.14559e-05
    -0.000114497    -0.000111979
    -0.000217737    -0.000201495
     -4.1035e-05    -4.39654e-05
     -8.5171e-05    -8.24777e-05
     -2.2893e-05    -1.65461e-05
     -2.7082e-05    -2.23005e-05
     -3.2385e-05    -2.40374e-05
     -0.00153297     -0.00136603
      -3.118e-05    -3.33029e-05
